title,url,Y,X
Acropolis Museum,https://www.theacropolismuseum.gr/en/explore-collections?field_exhibit_collection_value=Third+Floor_Parthenon_&field_exhibit_position_value_1=&title=&field_exhibit_desc_web_value=&field_exhibit_obj_code_value=&field_exhibit_category_value=&field_exhibit_period_value=&field_exhibit_material_value=&field_exhibit_position_value=Parthenon+Gallery&items_per_page=30&field_exhibits_format_view_value,37.9684,23.7285
British Museum,https://www.britishmuseum.org/collection/galleries/greece-parthenon,51.5194,0.127
Musée du Louvre,https://collections.louvre.fr/en/recherche?q=Parthenon&collection%5B0%5D=1&typology%5B0%5D=2,48.8606,2.3376
Vatican Museums,https://www.museivaticani.va/content/museivaticani/en/collezioni/musei/museo-gregoriano-profano/Marmi-del-Partenone.html,41.9065,12.4536
National Museum,https://en.natmus.dk/museums-and-palaces/the-national-museum-of-denmark/,55.6746,12.5747
Kunsthistorisches Museum,https://sharinghistory.museumwnf.org/database_item.php?id=object;AWE;at;23;en,48.2038,16.3618
Glyptothek,https://www.glyptoteket.com/,48.1465,11.5659
